ID,Name,Year,Month,Day,Status,Wind_mph,Latitude,Longitude
AL021947,UNNAMED,1947,8,12, TS,45,19.9,-87.5
AL021947,UNNAMED,1947,8,15, HU,95,21.7,-97.5
AL031947,UNNAMED,1947,8,22, TS,40,29.1,-90.3
AL031947,UNNAMED,1947,8,24, HU,70,29.2,-94.9
AL041947,UNNAMED,1947,9,16, HU,105,26.7,-77.1
AL041947,UNNAMED,1947,9,17, HU,115,26.1,-80.1
AL041947,UNNAMED,1947,9,19, HU,95,29.6,-89.5
AL051947,UNNAMED,1947,9,8, TS,45,30.3,-88.2
AL061947,UNNAMED,1947,9,21, TS,45,21.6,-82.6
AL061947,UNNAMED,1947,9,22, TS,45,22.5,-83.1
AL061947,UNNAMED,1947,9,23, TS,55,28.9,-82.7
AL071947,UNNAMED,1947,10,7, TS,50,30.8,-81.5
AL091947,UNNAMED,1947,10,11, TS,55,22.2,-83.6
AL091947,UNNAMED,1947,10,12, HU,80,25.4,-81.2
AL091947,UNNAMED,1947,10,15, HU,90,31.8,-80.9
AL021948,UNNAMED,1948,7,9, TS,35,30.3,-87.3
AL041948,UNNAMED,1948,8,31, TS,40,13.8,-60.9
AL051948,UNNAMED,1948,9,4, HU,70,29.1,-90.5
AL081948,UNNAMED,1948,9,20, HU,110,22.3,-82.1
AL081948,UNNAMED,1948,9,21, HU,110,22.7,-82
AL081948,UNNAMED,1948,9,21, HU,105,24.6,-81.6
AL081948,UNNAMED,1948,9,22, HU,115,25.8,-81.3
AL091948,UNNAMED,1948,10,5, HU,110,22.4,-83.2
AL091948,UNNAMED,1948,10,5, HU,90,24.7,-81.2
AL091948,UNNAMED,1948,10,5, HU,90,25.1,-80.9
AL091948,UNNAMED,1948,10,7, HU,90,32.3,-64.9
AL021949,UNNAMED,1949,8,26, HU,115,26.6,-80
AL031949,UNNAMED,1949,9,1, TS,40,13.9,-61
AL051949,UNNAMED,1949,9,4, TS,50,29.3,-90.6
AL071949,UNNAMED,1949,9,13, TS,35,34.3,-77.8
AL091949,UNNAMED,1949,9,26, TS,55,19.5,-96.3
AL101949,UNNAMED,1949,9,22, TS,55,18.4,-70
AL111949,UNNAMED,1949,10,4, HU,95,28.8,-95.6
AL161949,UNNAMED,1949,11,4, TS,40,15.6,-84.1
AL011950,ABLE,1950,8,21, HU,65,44.6,-63.7
AL021950,BAKER,1950,8,22, TS,60,16.8,-62.2
AL021950,BAKER,1950,8,31, HU,75,30.2,-88
AL021950,BAKER,1950,8,31, HU,75,30.7,-87.9
AL051950,EASY,1950,9,3, HU,70,21.5,-82.6
AL051950,EASY,1950,9,3, HU,80,22.7,-82.3
AL051950,EASY,1950,9,5, HU,105,29.1,-82.8
AL051950,EASY,1950,9,6, HU,90,28.5,-82.7
AL091950,ITEM,1950,10,11, HU,90,18.9,-95.9
AL111950,KING,1950,10,16, HU,80,20.9,-78.3
AL111950,KING,1950,10,18, HU,115,25.7,-80.2
AL131950,LOVE,1950,10,21, TS,50,29.7,-83.4
